======================================================
                      RUN OVERVIEW                   
======================================================
| Event                                         |  #  |  %   |
[2022-02-08 13:26:13,205] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 13:26:13,226] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 13:26:13,226] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 13:26:13,777] INFO       A: Got enough pots, no need to go to town right now.
[2022-02-08 13:26:19,179] DEBUG      No attack choreography available in hammerdin.py for this node layoutcheck_a - skipping to shorten run.
[2022-02-08 13:26:19,179] INFO       A: Checking Layout for Vizier
[2022-02-08 13:26:19,180] DEBUG      Traverse: [610620]
[2022-02-08 13:26:22,536] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 13:26:28,291] ERROR      Got stuck exit pather
[2022-02-08 13:26:28,683] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 13:26:28,702] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 13:26:31,003] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

11) ========== [2022-02-08 13:46:34,990] DEBUG      Traverse: [610620]
[2022-02-08 13:46:02,295] DEBUG      Done stashing
[2022-02-08 13:46:03,754] DEBUG      Traverse from a4_tyrael_stash to a4_jamella
[2022-02-08 13:46:10,880] DEBUG      Waiting for templates: ['SUPER_HEALING_POTION']
[2022-02-08 13:46:10,903] DEBUG      Found Match: SUPER_HEALING_POTION (99.5% confidence)
[2022-02-08 13:46:14,113] DEBUG      Waiting for templates: ['SUPER_MANA_POTION']
[2022-02-08 13:46:14,137] DEBUG      Found Match: SUPER_MANA_POTION (99.4% confidence)
[2022-02-08 13:46:14,511] DEBUG      A: Done in town, now going back to portal...
[2022-02-08 13:46:14,511] DEBUG      Traverse: [164, 163]
[2022-02-08 13:46:17,006] DEBUG      A: Going through portal...
[2022-02-08 13:46:17,454] DEBUG      A: Waiting for loading screen...
[2022-02-08 13:46:17,454] DEBUG      Traverse: [602]
[2022-02-08 13:46:21,263] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 13:46:25,290] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 13:46:25,310] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 13:46:25,311] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 13:46:26,323] DEBUG      Waiting for templates: ['TP_ACTIVE', 'TP_INACTIVE']
[2022-02-08 13:46:26,367] DEBUG      Found Match: TP_ACTIVE (100.0% confidence)
[2022-02-08 13:46:26,368] DEBUG      CS after town: FYI, total TPs used: 2
[2022-02-08 13:46:32,588] DEBUG      Teleport cancel detected. Try same teleport action again. (0.1458)
[2022-02-08 13:46:33,204] DEBUG      Teleport cancel detected. Try same teleport action again. (0.1452)
[2022-02-08 13:46:33,789] DEBUG      Teleport cancel detected. Try same teleport action again. (0.1485)
[2022-02-08 13:46:34,394] DEBUG      Teleport cancel detected. Try same teleport action again. (0.1482)
[2022-02-08 13:46:34,989] DEBUG      No attack choreography available in hammerdin.py for this node layoutcheck_a - skipping to shorten run.
[2022-02-08 13:46:34,990] INFO       A: Checking Layout for Vizier
[2022-02-08 13:46:34,990] DEBUG      Traverse: [610620]
[2022-02-08 13:46:38,315] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 13:46:44,560] ERROR      Got stuck exit pather
[2022-02-08 13:46:44,969] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 13:46:44,992] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 13:46:47,739] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

12) ========== [2022-02-08 14:04:18,044] DEBUG      Traverse: [675]
[2022-02-08 14:03:01,888] DEBUG      Traverse: [604]
[2022-02-08 14:03:02,673] DEBUG      Kill trash at location: rof_02
[2022-02-08 14:03:12,036] DEBUG      CS Trash: Calibrated at CS ENTRANCE
[2022-02-08 14:03:12,036] INFO       CS Trash: Starting to clear Trash
[2022-02-08 14:03:12,036] DEBUG      Kill trash at location: entrance_hall_01
[2022-02-08 14:03:12,037] DEBUG      Traverse: [604]
[2022-02-08 14:03:21,410] DEBUG      CS Trash: Clearing Hall 1
[2022-02-08 14:03:23,540] DEBUG      Kill trash at location: entrance_hall_02
[2022-02-08 14:03:31,131] DEBUG      Traverse: [672, 670]
[2022-02-08 14:03:33,529] DEBUG      Kill trash at location: entrance_hall_03
[2022-02-08 14:03:43,084] DEBUG      Traverse: [671]
[2022-02-08 14:03:46,660] DEBUG      Traverse: [605]
[2022-02-08 14:03:46,804] DEBUG      Waiting for templates: ['DIABLO_ENTRANCE_12', 'DIABLO_ENTRANCE_13', 'DIABLO_ENTRANCE_15', 'DIABLO_ENTRANCE_16', 'DIABLO_ENTRANCE_19', 'DIABLO_ENTRANCE_18', 'DIABLO_ENTRANCE_50', 'DIABLO_ENTRANCE_51', 'DIABLO_ENTRANCE_52', 'DIABLO_ENTRANCE_53', 'DIABLO_ENTRANCE_54', 'DIABLO_ENTRANCE_55']
[2022-02-08 14:03:48,597] DEBUG      Found Match: DIABLO_ENTRANCE_53 (99.8% confidence)
[2022-02-08 14:03:48,598] DEBUG      CS Trash: Entrance 1 Layout_check step 1/2: Entrance 1 templates found
[2022-02-08 14:03:48,598] DEBUG      Waiting for templates: ['DIABLO_ENTRANCE2_15', 'DIABLO_ENTRANCE2_23', 'DIABLO_ENTRANCE2_19', 'DIABLO_ENTRANCE2_17']
[2022-02-08 14:03:49,223] DEBUG      Entrance 1 Layout_check step 2/2: Entrance 2 templates NOT found - [95mall fine, proceeding with Entrance 1[0m
[2022-02-08 14:03:49,255] INFO       Entrance Layout: CS Trash: Layout A:
[2022-02-08 14:03:49,255] DEBUG      CS Trash: Clearing Hall 1-2
[2022-02-08 14:03:49,256] DEBUG      CS Trash: Layout A: clearing second hall (1/3) location: entrance1_01
[2022-02-08 14:03:56,824] DEBUG      Traverse: [673]
[2022-02-08 14:03:57,974] DEBUG      CS Trash: Layout A: clearing second hall (2/3) location: entrance1_02
[2022-02-08 14:04:08,258] DEBUG      Traverse: [674]
[2022-02-08 14:04:09,118] DEBUG      CS Trash: Layout A: clearing second hall (3/3) location: entrance1_03
[2022-02-08 14:04:18,044] DEBUG      Traverse: [675]
[2022-02-08 14:04:23,455] DEBUG      Pather: taking a random guess towards (-317, 213)
[2022-02-08 14:04:32,345] ERROR      Got stuck exit pather
[2022-02-08 14:04:32,811] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:04:32,852] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:04:35,486] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

13) ========== [2022-02-08 14:07:15,104] DEBUG      Traverse: [675]
[2022-02-08 14:06:01,901] DEBUG      CS Trash: Calibrated at CS ENTRANCE
[2022-02-08 14:06:01,902] INFO       CS Trash: Starting to clear Trash
[2022-02-08 14:06:01,902] DEBUG      Kill trash at location: entrance_hall_01
[2022-02-08 14:06:01,902] DEBUG      Traverse: [604]
[2022-02-08 14:06:11,356] DEBUG      CS Trash: Clearing Hall 1
[2022-02-08 14:06:13,495] DEBUG      Kill trash at location: entrance_hall_02
[2022-02-08 14:06:21,024] DEBUG      Traverse: [672, 670]
[2022-02-08 14:06:23,558] DEBUG      Kill trash at location: entrance_hall_03
[2022-02-08 14:06:32,685] DEBUG      Traverse: [671]
[2022-02-08 14:06:36,183] DEBUG      Traverse: [605]
[2022-02-08 14:06:36,355] DEBUG      Waiting for templates: ['DIABLO_ENTRANCE_12', 'DIABLO_ENTRANCE_13', 'DIABLO_ENTRANCE_15', 'DIABLO_ENTRANCE_16', 'DIABLO_ENTRANCE_19', 'DIABLO_ENTRANCE_18', 'DIABLO_ENTRANCE_50', 'DIABLO_ENTRANCE_51', 'DIABLO_ENTRANCE_52', 'DIABLO_ENTRANCE_53', 'DIABLO_ENTRANCE_54', 'DIABLO_ENTRANCE_55']
[2022-02-08 14:06:38,139] DEBUG      Found Match: DIABLO_ENTRANCE_53 (99.8% confidence)
[2022-02-08 14:06:38,139] DEBUG      CS Trash: Entrance 1 Layout_check step 1/2: Entrance 1 templates found
[2022-02-08 14:06:38,139] DEBUG      Waiting for templates: ['DIABLO_ENTRANCE2_15', 'DIABLO_ENTRANCE2_23', 'DIABLO_ENTRANCE2_19', 'DIABLO_ENTRANCE2_17']
[2022-02-08 14:06:38,808] DEBUG      Entrance 1 Layout_check step 2/2: Entrance 2 templates NOT found - [95mall fine, proceeding with Entrance 1[0m
[2022-02-08 14:06:38,841] INFO       Entrance Layout: CS Trash: Layout A:
[2022-02-08 14:06:38,842] DEBUG      CS Trash: Clearing Hall 1-2
[2022-02-08 14:06:38,842] DEBUG      CS Trash: Layout A: clearing second hall (1/3) location: entrance1_01
[2022-02-08 14:06:43,527] DEBUG      Give health potion in slot 2 to merc. HP: 55.0%
[2022-02-08 14:06:50,657] DEBUG      Give health potion in slot 2 to merc. HP: 55.0%
[2022-02-08 14:06:52,725] DEBUG      Traverse: [673]
[2022-02-08 14:06:53,620] DEBUG      CS Trash: Layout A: clearing second hall (2/3) location: entrance1_02
[2022-02-08 14:07:04,549] DEBUG      Traverse: [674]
[2022-02-08 14:07:05,362] DEBUG      CS Trash: Layout A: clearing second hall (3/3) location: entrance1_03
[2022-02-08 14:07:15,104] DEBUG      Traverse: [675]
[2022-02-08 14:07:19,190] DEBUG      Pather: taking a random guess towards (-333, 163)
[2022-02-08 14:07:28,113] ERROR      Got stuck exit pather
[2022-02-08 14:07:28,508] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:07:28,531] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:07:31,251] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

14) ========== [2022-02-08 14:38:17,510] DEBUG      Traverse: [610620]
[2022-02-08 14:37:19,938] DEBUG      rare_gauntlets: Discarding. Required AND([['20_INCREASED_ATTACK_SPEED'], ['2_JAVALIN_SPEARS']])=False
[2022-02-08 14:37:30,128] DEBUG      gray_weapon_colossus_voulge: Discarding. Required AND([['ETHEREAL'], ['SOCKETED_4']])=False
[2022-02-08 14:37:35,565] DEBUG      magic_greater_talons: Discarding. Required OR([['2_ASSASIN_SKILLS', '3_LIGHTNING_SENTRY'], ['TRAPS', 'LIGHTNING_SENTRY']])=False
[2022-02-08 14:37:40,931] DEBUG      magic_small_charm: Discarding. Required OR([['ALL_RESIST'], ['7_MAGICFIND'], ['20_LIFE'], ['3_MAXIMUM_DAMAGE', 'ATTACK_RATING']])=False
[2022-02-08 14:37:44,176] DEBUG      Check if stash is full
[2022-02-08 14:37:44,930] DEBUG      Done stashing
[2022-02-08 14:37:46,358] DEBUG      Traverse from a4_tyrael_stash to a4_jamella
[2022-02-08 14:37:53,628] DEBUG      Waiting for templates: ['SUPER_HEALING_POTION']
[2022-02-08 14:37:53,658] DEBUG      Found Match: SUPER_HEALING_POTION (99.5% confidence)
[2022-02-08 14:37:57,847] DEBUG      Waiting for templates: ['SUPER_MANA_POTION']
[2022-02-08 14:37:57,874] DEBUG      Found Match: SUPER_MANA_POTION (99.4% confidence)
[2022-02-08 14:38:01,218] DEBUG      A: Done in town, now going back to portal...
[2022-02-08 14:38:01,218] DEBUG      Traverse: [164, 163]
[2022-02-08 14:38:03,927] DEBUG      A: Going through portal...
[2022-02-08 14:38:04,375] DEBUG      A: Waiting for loading screen...
[2022-02-08 14:38:04,376] DEBUG      Traverse: [602]
[2022-02-08 14:38:06,508] DEBUG      Waiting for templates: ['TP_ACTIVE', 'TP_INACTIVE']
[2022-02-08 14:38:10,572] DEBUG      Could not find any of the above templates
[2022-02-08 14:38:10,572] WARNING    You are out of tps
[2022-02-08 14:38:10,632] WARNING    CS after Town: Open TP failed, higher chance of failing runs from now on, you should buy new TPs! (hint: always_repair=1)
[2022-02-08 14:38:10,632] DEBUG      CS after town: FYI, total TPs used: 22
[2022-02-08 14:38:16,874] DEBUG      Teleport cancel detected. Try same teleport action again. (0.1138)
[2022-02-08 14:38:17,509] DEBUG      No attack choreography available in hammerdin.py for this node layoutcheck_a - skipping to shorten run.
[2022-02-08 14:38:17,510] INFO       A: Checking Layout for Vizier
[2022-02-08 14:38:17,510] DEBUG      Traverse: [610620]
[2022-02-08 14:38:21,055] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:38:26,956] ERROR      Got stuck exit pather
[2022-02-08 14:38:27,346] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:38:27,406] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:38:29,780] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

15) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:38:51,867] INFO       Health Manager is now active
[2022-02-08 14:38:54,258] DEBUG      Traverse: [600]
[2022-02-08 14:38:55,339] DEBUG      CS Trash: Calibrated at WAYPOINT
[2022-02-08 14:39:04,167] DEBUG      Traverse: [603]
[2022-02-08 14:39:07,473] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:39:09,930] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:39:09,956] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:39:09,957] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:39:10,504] DEBUG      Kill trash at location: rof_01
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:23,307] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:39:25,625] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:39:25,660] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:39:25,660] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:39:26,233] DEBUG      CS Trash: Teleporting to CS ENTRANCE
[2022-02-08 14:39:26,233] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:27,198] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:28,137] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:29,054] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:29,970] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:30,854] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:31,742] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:32,633] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:33,524] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:34,426] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:35,283] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:36,210] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 14:39:37,570] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:39:37,595] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:39:39,829] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

16) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:41,341] WARNING    End failed game: Elpased time: 68.84s Fails: 2
[2022-02-08 14:39:42,406] INFO       Starting game #16
[2022-02-08 14:39:42,407] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:39:43,039] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:39:43,040] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:39:43,091] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:39:43,091] DEBUG      Wait for Play button
[2022-02-08 14:39:43,123] DEBUG      Found Play Btn
[2022-02-08 14:39:43,506] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:39:43,541] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:39:46,115] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:39:48,901] DEBUG      Found Match: A4_TOWN_5 (89.8% confidence)
[2022-02-08 14:39:48,993] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:39:49,087] INFO       Health Manager is now pausing
[2022-02-08 14:39:49,755] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:39:51,374] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:39:51,374] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:40:02,022] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:40:02,057] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:40:03,820] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:40:06,879] DEBUG      Could not find any of the above templates
[2022-02-08 14:40:06,880] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:40:10,311] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:40:11,244] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:40:11,278] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:40:11,278] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:40:19,994] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:40:20,388] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:40:20,428] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:40:22,846] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

17) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:40:22,846] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:40:24,357] WARNING    End failed game: Elpased time: 41.95s Fails: 3
[2022-02-08 14:40:25,163] INFO       Starting game #17
[2022-02-08 14:40:25,164] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:40:25,791] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:40:25,791] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:40:25,826] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:40:25,827] DEBUG      Wait for Play button
[2022-02-08 14:40:25,858] DEBUG      Found Play Btn
[2022-02-08 14:40:26,190] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:40:26,230] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:40:28,781] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:40:31,553] DEBUG      Found Match: A4_TOWN_5 (89.8% confidence)
[2022-02-08 14:40:31,837] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:40:32,612] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:40:32,656] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:40:32,656] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:40:37,014] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:40:37,034] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:40:38,826] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:40:41,894] DEBUG      Could not find any of the above templates
[2022-02-08 14:40:41,894] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:40:45,288] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:40:46,443] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:40:46,477] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:40:46,477] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:40:55,330] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:40:55,736] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:40:55,758] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:40:58,181] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

18) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:40:58,181] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:40:59,687] WARNING    End failed game: Elpased time: 34.52s Fails: 4
[2022-02-08 14:41:00,622] INFO       Starting game #18
[2022-02-08 14:41:00,623] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:41:01,241] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:41:01,242] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:41:01,271] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:41:01,272] DEBUG      Wait for Play button
[2022-02-08 14:41:07,908] DEBUG      Found Play Btn
[2022-02-08 14:41:08,324] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:41:08,364] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:41:10,880] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:41:13,604] DEBUG      Found Match: A4_TOWN_5 (89.7% confidence)
[2022-02-08 14:41:13,896] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:41:14,655] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:41:14,711] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:41:14,711] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:41:20,354] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:41:20,378] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
